# RADII         VROT    VRAD   VDISP      INC       PA      Z0    DENS    XPOS    YPOS    VSYS
440.00000      143.5     0.0    10.0    60.00   303.70    10.0   12.18    75.0    75.0   132.8
460.00000      143.8     0.0    10.0    60.00   303.70    10.0   11.69    75.0    75.0   132.8
480.00000      144.0     0.0    10.0    60.00   303.70    10.0   11.22    75.0    75.0   132.8
500.00000      144.3     0.0    10.0    60.00   303.70    10.0   10.77    75.0    75.0   132.8
520.00000      144.5     0.0    10.0    60.00   303.70    10.0   10.32    75.0    75.0   132.8
540.00000      144.7     0.0    10.0    60.00   303.70    10.0    9.89    75.0    75.0   132.8
560.00000      144.9     0.0    10.0    60.00   303.70    10.0    9.48    75.0    75.0   132.8
580.00000      145.1     0.0    10.0    60.00   303.70    10.0    9.08    75.0    75.0   132.8
600.00000      145.2     0.0    10.0    60.00   303.70    10.0    8.69    75.0    75.0   132.8
620.00000      145.4     0.0    10.0    60.00   303.70    10.0    8.32    75.0    75.0   132.8
640.00000      145.5     0.0    10.0    60.00   303.70    10.0    7.96    75.0    75.0   132.8
660.00000      145.7     0.0    10.0    60.00   303.70    10.0    7.61    75.0    75.0   132.8
680.00000      145.8     0.0    10.0    60.00   303.70    10.0    7.28    75.0    75.0   132.8
700.00000      145.9     0.0    10.0    60.00   303.70    10.0    6.96    75.0    75.0   132.8
720.00000      146.0     0.0    10.0    60.00   303.70    10.0    6.65    75.0    75.0   132.8
740.00000      146.1     0.0    10.0    60.00   303.70    10.0    6.36    75.0    75.0   132.8
760.00000      146.2     0.0    10.0    60.00   303.70    10.0    6.07    75.0    75.0   132.8
780.00000      146.3     0.0    10.0    60.00   303.70    10.0    5.80    75.0    75.0   132.8
800.00000      146.4     0.0    10.0    60.00   303.70    10.0    5.54    75.0    75.0   132.8
820.00000      146.5     0.0    10.0    60.00   303.70    10.0    5.29    75.0    75.0   132.8
840.00000      146.6     0.0    10.0    60.00   303.70    10.0    5.05    75.0    75.0   132.8
860.00000      146.7     0.0    10.0    60.00   303.70    10.0    4.82    75.0    75.0   132.8
880.00000      146.7     0.0    10.0    60.00   303.70    10.0    4.60    75.0    75.0   132.8
900.00000      146.8     0.0    10.0    60.00   303.70    10.0    4.39    75.0    75.0   132.8
920.00000      146.9     0.0    10.0    60.00   303.70    10.0    4.19    75.0    75.0   132.8
940.00000      147.0     0.0    10.0    60.00   303.70    10.0    4.00    75.0    75.0   132.8
960.00000      147.0     0.0    10.0    60.00   303.70    10.0    3.82    75.0    75.0   132.8
980.00000      147.1     0.0    10.0    60.00   303.70    10.0    3.64    75.0    75.0   132.8
1000.00000     147.1     0.0    10.0    60.00   303.70    10.0    3.47    75.0    75.0   132.8
1020.00000     147.2     0.0    10.0    60.00   303.70    10.0    3.31    75.0    75.0   132.8
1040.00000     147.2     0.0    10.0    60.00   303.70    10.0    3.16    75.0    75.0   132.8
1060.00000     147.3     0.0    10.0    60.00   303.70    10.0    3.01    75.0    75.0   132.8
1080.00000     147.3     0.0    10.0    60.00   303.70    10.0    2.87    75.0    75.0   132.8
1100.00000     147.4     0.0    10.0    60.00   303.70    10.0    2.74    75.0    75.0   132.8
1120.00000     147.4     0.0    10.0    60.00   303.70    10.0    2.61    75.0    75.0   132.8
1140.00000     147.5     0.0    10.0    60.00   303.70    10.0    2.49    75.0    75.0   132.8
1160.00000     147.5     0.0    10.0    60.00   303.70    10.0    2.37    75.0    75.0   132.8
1180.00000     147.6     0.0    10.0    60.00   303.70    10.0    2.26    75.0    75.0   132.8
1200.00000     147.6     0.0    10.0    60.00   303.70    10.0    2.16    75.0    75.0   132.8
